
ATNF Pulsar Catalogue
Catalogue Version: 2.1.1
#;NAME;PSRJ;P0;P1;F0;F1;DM;RM;W50;S1400;BINARY;DIST;AGE;
;;;(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(mJy);(type);(kpc);(Yr);
108;J0158+21;J0158+21;0.505300;*;1.979022;*;20.00;-29.77;*;*;*;1.568;*;
109;J0201+7005;J0201+7005;1.349184;5.51e-15;0.741188;-3.029e-15;21.03;-39.00;11.000;*;*;1.172;3.88e+06;
110;J0203-0150;J0203-0150;0.005173;1.43e-20;193.299398;-5.336e-16;19.22;2.60;*;0.27;ELL1;1.837;5.74e+09;
111;J0205+6449;J0205+6449;0.065716;1.94e-13;15.217011;-4.487e-11;140.70;*;2.300;0.04;*;3.200;5.37e+03;
112;B0203-40;J0206-4028;0.630551;1.20e-15;1.585914;-3.010e-15;12.90;-4.00;6.200;0.80;*;1.260;8.35e+06;
113;J0209+4331;J0209+4331;0.863883;5.72e-17;1.157565;-7.660e-17;57.29;79.00;*;0.01;*;2.531;2.39e+08;
114;J0209+5759;J0209+5759;1.063906;1.39e-14;0.939932;-1.230e-14;55.28;*;20.000;*;*;1.743;1.21e+06;
115;J0210+5845;J0210+5845;1.766208;1.34e-13;0.566185;-4.296e-14;76.77;*;40.900;*;*;1.952;2.09e+05;
116;J0211+4235;J0211+4235;0.350731;1.11e-18;2.851188;-9.000e-18;49.70;49.00;*;0.11;*;2.240;5.02e+09;
117;J0211-8159;J0211-8159;1.077333;2.90e-16;0.928218;-2.499e-16;24.36;54.00;42.000;0.30;*;1.523;5.89e+07;
118;J0212+5222;J0212+5222;0.376386;6.60e-15;2.656844;-4.658e-14;38.21;-13.68;13.000;0.90;*;1.558;9.04e+05;
119;J0214+5222;J0214+5222;0.024575;2.99e-19;40.691272;-4.951e-16;22.04;-16.44;1.100;*;BT;1.161;1.30e+09;
120;J0215+6218;J0215+6218;0.548880;6.62e-16;1.821892;-2.198e-15;84.00;380.90;41.000;3.70;*;2.004;1.31e+07;
121;J0218+4232;J0218+4232;0.002323;7.74e-20;430.461055;-1.434e-14;61.25;-61.40;1.030;0.90;ELL1;3.150;4.76e+08;
122;J0220+3626;J0220+3626;1.029700;*;0.971157;*;40.00;-41.05;220.000;*;*;2.240;*;
123;J0227+3356;J0227+3356;1.240102;2.85e-15;0.806385;-1.854e-15;27.00;*;*;*;*;1.595;6.89e+06;
124;J0229+20;J0229+20;0.806900;*;1.239311;*;27.00;*;*;*;*;2.088;*;
125;B0226+70;J0231+7026;1.466820;3.11e-15;0.681747;-1.445e-15;46.68;-43.81;34.000;0.30;*;1.755;7.47e+06;
126;J0241+16;J0241+16;1.545400;*;0.647082;*;16.00;*;*;*;*;0.936;*;
127;J0242+62;J0242+62;0.592000;*;1.689189;*;3.92;*;18.000;*;*;0.217;*;
128;J0243+6027;J0243+6027;1.473000;*;0.678887;*;141.00;*;36.000;*;*;2.717;*;
129;J0244+14;J0244+14;2.128100;*;0.469903;*;31.00;*;*;*;*;2.796;*;
130;J0248+4230;J0248+4230;0.002601;1.69e-20;384.491935;-2.494e-15;48.26;*;*;*;*;1.853;2.44e+09;
131;J0248+6021;J0248+6021;0.217094;5.51e-14;4.606300;-1.169e-12;370.00;-158.00;26.000;14.00;*;2.000;6.24e+04;
132;J0250+5854;J0250+5854;23.535378;2.72e-14;0.042489;-4.903e-17;45.28;*;155.300;0.00;*;1.558;1.37e+07;
133;J0251+2606;J0251+2606;0.002542;7.57e-21;393.460010;-1.172e-15;20.22;*;*;*;ELL1;1.170;5.32e+09;
134;B0254-53;J0255-5304;0.447708;3.13e-17;2.233596;-1.561e-16;15.90;32.00;7.400;5.00;*;1.514;2.27e+08;
135;J0301+35;J0301+35;0.568320;*;1.759572;*;57.43;*;5.900;*;*;3.100;*;
136;J0302+2252;J0302+2252;1.207165;8.25e-17;0.828387;-5.661e-17;18.99;*;50.000;*;*;1.014;2.32e+08;
137;B0301+19;J0304+1932;1.387584;1.30e-15;0.720677;-6.727e-16;15.66;-8.43;46.000;15.00;*;0.739;1.70e+07;
138;J0305+11;J0305+11;0.862100;*;1.159958;*;27.97;*;26.000;*;*;1.838;*;
139;J0307+7443;J0307+7443;0.003156;1.73e-20;316.847877;-1.733e-15;6.34;*;*;*;ELL1;0.386;2.90e+09;
140;J0312-0921;J0312-0921;0.003704;1.97e-20;269.953947;-1.437e-15;20.50;*;*;*;ELL1;0.817;2.98e+09;
141;J0317+13;J0317+13;1.974300;*;0.506509;*;12.90;*;20.000;*;*;0.367;*;
142;J0318+0253;J0318+0253;0.005190;1.76e-20;192.683716;-6.540e-16;25.98;*;*;0.01;*;1.328;4.67e+09;
143;B0320+39;J0323+3944;3.032072;6.36e-16;0.329807;-6.914e-17;26.19;60.00;42.700;0.90;*;0.940;7.56e+07;
144;J0324+5239;J0324+5239;0.336620;3.81e-16;2.970707;-3.362e-15;115.46;-126.00;45.000;0.19;*;2.290;1.40e+07;
145;J0325+6744;J0325+6744;1.364679;1.55e-15;0.732773;-8.340e-16;65.28;*;14.000;*;*;1.929;1.39e+07;
146;J0329+1654;J0329+1654;0.893320;2.15e-16;1.119420;-2.697e-16;40.82;*;17.000;*;*;2.557;6.58e+07;
147;B0329+54;J0332+5434;0.714520;2.05e-15;1.399542;-4.012e-15;26.76;-64.33;6.600;203.00;*;1.680;5.53e+06;
148;B0331+45;J0335+4555;0.269201;7.35e-18;3.714703;-1.014e-16;47.15;-15.20;6.100;0.80;*;2.410;5.80e+08;
149;J0335+6623;J0335+6623;1.761934;4.81e-15;0.567558;-1.550e-15;66.73;*;30.000;*;*;1.907;5.80e+06;
150;J0337+1715;J0337+1715;0.002733;1.77e-20;365.953363;-2.366e-15;21.32;*;*;*;ELL1;1.300;2.45e+09;
151;J0337+79;J0337+79;2.056210;*;0.486332;*;16.67;*;*;*;*;1.053;*;
152;J0340+4130;J0340+4130;0.003299;7.05e-21;303.090979;-6.474e-16;49.59;55.00;*;0.31;*;1.603;7.42e+09;
153;J0341+5711;J0341+5711;1.888000;*;0.529661;*;101.00;*;43.000;*;*;2.037;*;
154;J0343+06;J0343+06;1.007640;*;0.992418;*;46.00;*;32.000;*;*;3.774;*;
155;B0339+53;J0343+5312;1.934478;1.34e-14;0.516935;-3.587e-15;67.30;-69.70;44.900;0.30;*;1.705;2.28e+06;
156;J0343-3000;J0343-3000;2.597027;5.70e-17;0.385056;-8.451e-18;20.20;45.00;38.000;1.30;*;1.594;7.22e+08;
157;J0344-0901;J0344-0901;1.226006;3.47e-15;0.815657;-2.309e-15;30.90;7.00;17.100;0.15;*;1.507;5.60e+06;
158;J0348+0432;J0348+0432;0.039123;2.41e-19;25.560637;-1.576e-16;40.46;48.30;3.000;0.67;ELL1;2.100;2.57e+09;
159;J0349+2340;J0349+2340;2.420771;1.10e-15;0.413092;-1.876e-16;62.96;*;50.000;*;*;3.746;3.49e+07;
160;J0355+28;J0355+28;0.365000;*;2.739726;*;48.68;*;8.300;*;*;1.789;*;
161;J0357+3205;J0357+3205;0.444104;1.30e-14;2.251722;-6.610e-14;*;*;*;*;*;0.835;5.40e+05;
162;B0353+52;J0357+5236;0.197030;4.77e-16;5.075367;-1.228e-14;103.71;261.00;12.500;1.90;*;2.900;6.55e+06;
163;J0358+4155;J0358+4155;0.226484;1.46e-16;4.415316;-2.843e-15;46.33;*;10.500;*;*;1.481;2.46e+07;
164;B0355+54;J0358+5413;0.156384;4.39e-15;6.394511;-1.797e-13;57.14;81.50;3.900;23.00;*;1.000;5.64e+05;
165;J0358+6627;J0358+6627;0.091506;1.09e-17;10.928271;-1.300e-15;62.33;*;2.300;*;*;1.884;1.33e+08;
166;J0359+5414;J0359+5414;0.079427;1.67e-14;12.590140;-2.652e-12;*;*;*;*;*;*;7.52e+04;
167;B0403-76;J0401-7608;0.545254;1.54e-15;1.834007;-5.193e-15;21.70;19.00;21.000;3.80;*;1.014;5.60e+06;
