
ATNF Pulsar Catalogue
Catalogue Version: 2.1.1
#;NAME;PSRJ;P0;P1;F0;F1;DM;RM;W50;S1400;BINARY;DIST;AGE;
;;;(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(mJy);(type);(kpc);(Yr);
1943;J1804-17;J1804-17;0.280781;*;3.561497;*;549.00;*;41.700;0.24;*;22.258;*;
1944;J1804-2228;J1804-2228;0.570511;1.43e-16;1.752816;-4.400e-16;424.00;*;27.300;0.20;*;4.054;6.31e+07;
1945;J1804-2717;J1804-2717;0.009343;4.09e-20;107.031649;-4.680e-16;24.67;40.00;1.550;0.40;DD;0.805;3.62e+09;
1946;J1804-28;J1804-28;1.273011;*;0.785539;*;213.00;*;17.000;0.40;*;5.468;*;
1947;J1804-2858;J1804-2858;0.001493;-7.57e-22;669.933583;3.399e-16;232.53;-421.00;*;0.92;*;8.235;*;
1948;B1802+03;J1805+0306;0.218712;9.99e-16;4.572232;-2.089e-14;80.86;42.00;7.700;*;*;5.253;3.47e+06;
1949;J1805+0615;J1805+0615;0.002129;2.28e-20;469.724725;-5.021e-15;64.88;*;*;*;ELL1;3.885;1.48e+09;
1950;J1805-0619;J1805-0619;0.454651;9.69e-16;2.199491;-4.688e-15;147.10;82.00;15.000;0.90;*;5.429;7.43e+06;
1951;J1805-1504;J1805-1504;1.181269;2.73e-16;0.846547;-1.960e-16;225.00;213.10;229.000;3.70;*;5.409;6.84e+07;
1952;J1805-2032;J1805-2032;0.405769;8.39e-15;2.464453;-5.098e-14;932.00;*;26.300;0.70;*;6.693;7.66e+05;
1953;J1805-2037;J1805-2037;0.357807;1.76e-15;2.794805;-1.371e-14;708.10;*;13.200;0.34;*;4.983;3.23e+06;
1954;J1805-2447;J1805-2447;0.661402;5.82e-18;1.511940;-1.330e-17;269.00;*;11.000;0.27;*;4.576;1.80e+09;
1955;J1805-2948;J1805-2948;0.428341;4.74e-16;2.334589;-2.583e-15;167.90;23.00;9.200;0.20;*;4.589;1.43e+07;
1956;J1806+1023;J1806+1023;0.484286;5.73e-17;2.064894;-2.441e-16;52.03;*;2.400;*;*;2.954;1.34e+08;
1957;J1806+2819;J1806+2819;0.015084;3.75e-20;66.296875;-1.648e-16;18.68;*;2.000;*;ELL1;1.330;6.37e+09;
1958;B1804-12;J1806-1154;0.522618;1.41e-15;1.913442;-5.158e-15;122.41;256.00;32.000;2.70;*;3.005;5.88e+06;
1959;J1806-1618;J1806-1618;0.668309;8.62e-16;1.496313;-1.930e-15;319.00;*;34.000;0.22;*;10.155;1.23e+07;
1960;J1806-1920;J1806-1920;0.879791;1.70e-17;1.136634;-2.200e-17;683.00;1069.00;659.900;1.40;*;12.798;8.19e+08;
1961;J1806-2125;J1806-2125;0.481825;1.18e-13;2.075444;-5.082e-13;747.00;724.00;34.000;0.80;*;4.887;6.47e+04;
1962;J1807+04;J1807+04;0.798900;*;1.251721;*;53.00;*;*;*;*;2.391;*;
1963;J1807+0756;J1807+0756;0.464300;1.29e-16;2.153778;-6.003e-16;89.29;*;18.000;*;*;7.935;5.69e+07;
1964;B1804-08;J1807-0847;0.163727;2.88e-17;6.107714;-1.074e-15;112.38;166.00;5.900;18.00;*;1.500;9.01e+07;
1965;J1807-2459A;J1807-2459A;0.003059;-4.33e-21;326.856263;4.631e-16;134.00;160.40;0.330;1.10;BT;2.580;*;
1966;J1807-2459B;J1807-2459B;0.004186;8.23e-20;238.881431;-4.698e-15;137.15;157.00;*;*;DD;2.580;8.06e+08;
1967;J1807-2557;J1807-2557;2.764195;4.99e-15;0.361769;-6.536e-16;385.00;*;4.000;*;*;18.555;8.77e+06;
1968;B1804-27;J1807-2715;0.827776;1.22e-14;1.208056;-1.776e-14;312.98;-47.00;9.700;0.91;*;15.391;1.08e+06;
1969;J1808+00;J1808+00;0.425115;*;2.352305;*;149.20;*;20.000;*;*;25.000;*;
1970;J1808-0813;J1808-0813;0.876044;1.24e-15;1.141495;-1.616e-15;151.27;77.00;23.000;1.60;*;3.971;1.12e+07;
1971;J1808-1020;J1808-1020;0.596993;7.72e-16;1.675061;-2.167e-15;225.30;125.40;9.300;0.23;*;8.075;1.22e+07;
1972;J1808-1517;J1808-1517;0.544549;2.67e-15;1.836381;-8.994e-15;205.00;-169.00;9.000;0.35;*;4.306;3.23e+06;
1973;J1808-1726;J1808-1726;0.241035;1.16e-17;4.148783;-2.000e-16;536.00;*;66.000;0.39;*;14.163;3.29e+08;
1974;J1808-2024;J1808-2024;7.555920;5.49e-10;0.132347;-9.616e-12;*;*;*;*;*;13.000;2.18e+02;
1975;B1805-20;J1808-2057;0.918410;1.71e-14;1.088838;-2.024e-14;606.80;93.00;76.000;2.60;*;4.586;8.52e+05;
1976;J1808-2701;J1808-2701;2.457882;6.58e-14;0.406854;-1.089e-14;95.00;*;23.000;0.15;*;2.705;5.92e+05;
1977;J1808-3249;J1808-3249;0.364912;7.05e-15;2.740385;-5.294e-14;147.30;289.00;5.000;1.70;*;6.269;8.20e+05;
1978;J1809+17;J1809+17;2.066700;*;0.483863;*;47.32;*;41.000;*;*;3.153;*;
1979;J1809-0119;J1809-0119;0.744976;2.29e-15;1.342324;-4.126e-15;138.30;*;12.000;*;*;10.738;5.15e+06;
1980;J1809-0743;J1809-0743;0.313886;1.52e-16;3.185873;-1.544e-15;240.70;-44.00;13.000;0.30;*;13.998;3.27e+07;
1981;J1809-1429;J1809-1429;0.895285;5.24e-15;1.116962;-6.537e-15;411.30;-40.00;11.000;0.60;*;17.150;2.71e+06;
1982;J1809-1850;J1809-1850;1.124481;1.06e-14;0.889299;-8.363e-15;598.00;*;55.000;0.20;*;4.667;1.68e+06;
1983;J1809-1917;J1809-1917;0.082755;2.55e-14;12.083823;-3.728e-12;197.10;41.00;17.000;2.80;*;3.268;5.14e+04;
1984;J1809-1943;J1809-1943;5.540743;2.83e-12;0.180481;-9.212e-14;178.00;76.00;150.000;0.70;*;3.600;3.10e+04;
1985;J1809-2004;J1809-2004;0.434811;7.28e-15;2.299848;-3.850e-14;867.10;*;46.300;0.90;*;5.227;9.46e+05;
1986;B1806-21;J1809-2109;0.702414;3.82e-15;1.423663;-7.746e-15;381.91;256.00;8.900;0.84;*;4.123;2.91e+06;
1987;J1809-2332;J1809-2332;0.146789;3.44e-14;6.812521;-1.597e-12;*;*;*;*;*;0.880;6.76e+04;
1988;J1809-3547;J1809-3547;0.860388;1.20e-16;1.162267;-1.621e-16;193.84;379.00;109.000;*;*;22.565;1.14e+08;
1989;J1810+0705;J1810+0705;0.307683;2.42e-16;3.250100;-2.556e-15;79.42;*;42.300;*;*;5.456;2.01e+07;
1990;J1810+1744;J1810+1744;0.001660;4.60e-21;602.409639;-1.669e-15;39.70;88.50;*;*;BT;2.361;5.72e+09;
1991;J1810-1441;J1810-1441;0.217214;2.39e-17;4.603765;-5.060e-16;304.90;*;14.000;0.21;*;6.755;1.44e+08;
1992;J1810-1709;J1810-1709;1.161133;3.33e-16;0.861228;-2.470e-16;670.00;*;134.200;0.45;*;14.520;5.52e+07;
1993;J1810-1820;J1810-1820;0.153716;5.22e-17;6.505492;-2.210e-15;452.00;110.00;7.800;0.70;*;4.237;4.66e+07;
1994;J1810-2005;J1810-2005;0.032822;1.47e-19;30.467142;-1.368e-16;240.72;-15.70;7.200;1.33;ELL1;3.513;3.53e+09;
1995;B1806-53;J1810-5338;0.261050;3.86e-16;3.830687;-5.660e-15;45.00;58.00;6.600;*;*;1.648;1.07e+07;
1996;J1811+0702;J1811+0702;0.461713;2.69e-15;2.165849;-1.263e-14;57.80;132.00;12.000;*;*;2.965;2.72e+06;
1997;J1811-0154;J1811-0154;0.924945;1.61e-15;1.081146;-1.880e-15;148.10;46.00;21.000;0.70;*;11.112;9.11e+06;
1998;J1811-0624;J1811-0624;0.004146;4.81e-21;241.214745;-2.800e-16;158.83;20.10;*;0.10;ELL1;5.801;1.36e+10;
1999;J1811-1049;J1811-1049;2.623859;8.00e-16;0.381118;-1.162e-16;253.30;*;*;0.30;*;8.666;5.20e+07;
2000;J1811-1717;J1811-1717;0.391385;1.20e-16;2.555028;-7.834e-16;545.50;*;38.800;0.20;*;5.184;5.17e+07;
2001;J1811-1736;J1811-1736;0.104182;9.01e-19;9.598591;-8.301e-17;473.93;*;13.000;1.30;BT;4.419;1.83e+09;
2002;J1811-1835;J1811-1835;0.557464;6.31e-15;1.793839;-2.032e-14;761.00;-345.00;16.700;0.42;*;4.933;1.40e+06;
2003;J1811-1925;J1811-1925;0.064667;4.40e-14;15.463838;-1.052e-11;*;*;*;*;*;5.000;2.33e+04;
2004;J1811-2405;J1811-2405;0.002661;1.38e-20;375.856020;-1.946e-15;60.62;30.25;0.110;1.33;ELL1H;1.831;3.06e+09;
2005;J1811-2439;J1811-2439;0.415813;2.97e-16;2.404928;-1.719e-15;167.20;-82.00;14.000;0.26;*;3.756;2.22e+07;
2006;J1811-4930;J1811-4930;1.432704;2.25e-15;0.697981;-1.098e-15;44.00;42.00;11.000;0.40;*;1.447;1.01e+07;
2007;B1810+02;J1812+0226;0.793903;3.60e-15;1.259600;-5.711e-15;104.14;*;15.000;0.30;*;7.193;3.49e+06;
2008;J1812-15;J1812-15;1.014529;*;0.985679;*;431.00;*;18.700;*;*;10.035;*;
2009;J1812-17;J1812-17;2.182018;*;0.458291;*;418.70;*;51.100;0.11;*;4.201;*;
2010;B1809-173;J1812-1718;1.205374;1.91e-14;0.829618;-1.313e-14;251.40;71.00;20.000;1.10;*;3.659;1.00e+06;
2011;B1809-176;J1812-1733;0.538341;9.82e-16;1.857560;-3.390e-15;509.80;343.00;73.000;4.80;*;4.492;8.68e+06;
2012;J1812-1910;J1812-1910;0.430991;3.77e-14;2.320234;-2.032e-13;892.00;*;28.000;0.28;*;5.920;1.81e+05;
2013;J1812-20;J1812-20;1.903112;2.40e-16;0.525455;-6.626e-17;457.00;*;102.800;*;*;11.214;1.26e+08;
2014;J1812-2102;J1812-2102;1.223352;2.39e-14;0.817426;-1.597e-14;547.20;323.00;40.800;1.40;*;14.443;8.11e+05;
2015;J1812-2526;J1812-2526;0.315835;1.77e-16;3.166210;-1.779e-15;361.40;*;12.000;0.18;*;22.247;2.82e+07;
2016;J1812-2748;J1812-2748;0.236983;3.16e-16;4.219706;-5.620e-15;104.00;*;*;*;*;2.940;1.19e+07;
2017;J1812-3039;J1812-3039;0.587477;6.60e-16;1.702195;-1.913e-15;141.40;*;7.500;*;*;5.474;1.41e+07;
2018;J1813+1822;J1813+1822;0.336425;2.10e-17;2.972434;-1.855e-16;60.80;*;10.000;*;*;4.988;2.54e+08;
2019;B1811+40;J1813+4013;0.931089;2.55e-15;1.074011;-2.940e-15;41.56;49.60;12.200;1.10;*;4.915;5.79e+06;
2020;J1813-0402;J1813-0402;0.004107;6.94e-21;243.512846;-4.117e-16;71.35;22.10;*;0.15;ELL1;2.229;9.37e+09;
2021;J1813-1246;J1813-1246;0.048072;1.76e-14;20.802023;-7.600e-12;*;*;*;*;*;2.635;4.34e+04;
2022;J1813-17;J1813-17;0.367591;*;2.720413;*;692.00;*;18.700;0.12;*;4.889;*;
2023;J1813-1749;J1813-1749;0.044741;1.27e-13;22.351084;-6.344e-11;1087.00;*;*;*;*;6.147;5.58e+03;
2024;J1813-2113;J1813-2113;0.426466;2.08e-15;2.344851;-1.144e-14;462.30;418.00;12.000;0.60;*;14.965;3.25e+06;
2025;J1813-2242;J1813-2242;0.328514;4.78e-17;3.044008;-4.430e-16;333.00;*;21.000;0.21;*;12.475;1.09e+08;
2026;J1813-2621;J1813-2621;0.004430;1.25e-20;225.733042;-6.352e-16;122.49;142.20;0.660;0.58;ELL1;3.158;5.63e+09;
2027;J1814+1130;J1814+1130;0.751261;1.66e-15;1.331095;-2.942e-15;65.00;*;10.000;*;*;4.151;7.17e+06;
2028;J1814+22;J1814+22;0.253700;*;3.941663;*;62.31;*;5.000;*;*;6.461;*;
2029;J1814+31;J1814+31;0.002090;*;478.468900;*;*;*;*;*;*;*;*;
2030;J1814-0521;J1814-0521;1.014219;8.84e-16;0.985980;-8.594e-16;130.60;*;18.000;*;*;4.211;1.82e+07;
2031;J1814-0618;J1814-0618;1.377868;2.92e-16;0.725759;-1.540e-16;168.00;93.00;48.000;0.58;*;5.990;7.47e+07;
2032;J1814-1649;J1814-1649;0.957464;6.33e-15;1.044426;-6.908e-15;782.00;-857.00;27.100;1.30;*;5.205;2.40e+06;
2033;J1814-1744;J1814-1744;3.975905;7.45e-13;0.251515;-4.711e-14;820.00;*;92.000;0.70;*;5.118;8.46e+04;
2034;J1815+5546;J1815+5546;0.426844;9.47e-17;2.342777;-5.200e-16;59.00;*;11.000;*;*;25.000;7.14e+07;
2035;J1815-1738;J1815-1738;0.198457;7.78e-14;5.038875;-1.975e-12;724.60;175.00;8.500;0.40;*;4.887;4.04e+04;
2036;J1815-1910;J1815-1910;1.249924;3.63e-14;0.800049;-2.323e-14;547.80;*;25.400;0.32;*;6.133;5.46e+05;
2037;J1816+4510;J1816+4510;0.003193;4.31e-20;313.174936;-4.227e-15;38.89;*;0.290;*;ELL1;4.356;1.17e+09;
2038;J1816-0755;J1816-0755;0.217643;6.48e-15;4.594687;-1.368e-13;117.90;28.00;4.200;0.17;*;3.152;5.32e+05;
2039;J1816-1446;J1816-1446;0.594500;1.33e-15;1.682086;-3.752e-15;629.00;*;25.000;0.23;*;10.089;7.10e+06;
2040;B1813-17;J1816-1729;0.782313;7.26e-15;1.278260;-1.187e-14;520.70;83.00;16.000;1.30;*;4.435;1.71e+06;
2041;B1813-26;J1816-2650;0.592885;6.65e-17;1.686667;-1.892e-16;128.12;90.00;40.000;2.38;*;3.592;1.41e+08;
2042;J1816-5643;J1816-5643;0.217923;1.93e-18;4.588779;-4.064e-17;52.40;*;6.400;*;*;2.580;1.79e+09;
2043;J1817-0743;J1817-0743;0.438095;-2.30e-18;2.282608;1.200e-17;14.80;*;13.000;0.25;*;0.195;*;
2044;J1817-1511;J1817-1511;0.224604;1.43e-15;4.452284;-2.837e-14;970.00;*;21.000;0.43;*;7.345;2.49e+06;
2045;J1817-1742;J1817-1742;0.149744;2.06e-14;6.678062;-9.178e-13;*;*;*;*;*;*;1.15e+05;
2046;J1817-1938;J1817-1938;2.046838;3.60e-16;0.488559;-8.593e-17;519.60;*;*;0.10;*;17.004;9.01e+07;
2047;B1814-23;J1817-2311;0.625470;*;1.598798;*;240.00;*;*;*;*;7.933;*;
2048;B1813-36;J1817-3618;0.387019;2.02e-15;2.583850;-1.351e-14;94.13;66.00;9.400;3.20;*;4.383;3.03e+06;
2049;J1817-3837;J1817-3837;0.384487;5.80e-16;2.600870;-3.925e-15;102.85;103.00;5.300;2.09;*;6.086;1.05e+07;
2050;J1818-0151;J1818-0151;0.837535;9.11e-15;1.193980;-1.298e-14;209.00;*;13.000;0.09;*;19.135;1.46e+06;
2051;J1818-1116;J1818-1116;0.544800;3.82e-15;1.835538;-1.289e-14;422.00;-1221.00;25.000;0.50;*;13.004;2.26e+06;
2052;B1815-14;J1818-1422;0.291489;2.04e-15;3.430656;-2.396e-14;619.65;1174.00;17.100;9.60;*;5.439;2.27e+06;
2053;J1818-1448;J1818-1448;0.281371;6.15e-15;3.554023;-7.768e-14;644.00;*;45.000;0.19;*;4.996;7.25e+05;
2054;J1818-1519;J1818-1519;0.939690;4.11e-15;1.064181;-4.650e-15;845.00;1157.00;130.400;2.10;*;5.361;3.63e+06;
2055;J1818-1541;J1818-1541;0.551134;9.67e-15;1.814442;-3.185e-14;690.00;1097.00;27.200;1.00;*;4.792;9.03e+05;
2056;J1818-1556;J1818-1556;0.952709;7.06e-16;1.049639;-7.780e-16;230.00;*;26.000;0.49;*;3.464;2.14e+07;
2057;J1818-1607;J1818-1607;1.363492;4.18e-11;0.733411;-2.250e-11;699.20;1442.00;40.000;0.20;*;4.808;5.16e+02;
2058;J1819+1305;J1819+1305;1.060364;3.59e-16;0.943073;-3.195e-16;64.81;114.80;64.000;1.10;*;4.047;4.68e+07;
2059;J1819-0925;J1819-0925;0.852047;3.13e-15;1.173644;-4.312e-15;378.00;63.00;22.000;0.72;*;13.840;4.31e+06;
2060;J1819-1008;J1819-1008;0.301490;1.32e-15;3.316861;-1.453e-14;404.00;124.00;12.000;0.35;*;13.539;3.62e+06;
2061;J1819-1114;J1819-1114;0.294163;5.66e-16;3.399481;-6.541e-15;309.70;*;21.000;1.07;*;5.795;8.23e+06;
2062;J1819-1131;J1819-1131;1.388137;7.61e-16;0.720390;-3.950e-16;578.00;*;64.000;0.15;*;16.393;2.89e+07;
2063;J1819-1318;J1819-1318;1.515696;5.97e-16;0.659763;-2.600e-16;35.10;*;23.000;0.16;*;0.812;4.02e+07;
2064;J1819-1408;J1819-1408;1.788490;2.59e-15;0.559131;-8.100e-16;1075.00;1969.00;116.800;0.50;*;8.967;1.09e+07;
2065;J1819-1458;J1819-1458;4.263213;5.63e-13;0.234565;-3.096e-14;196.00;*;154.000;*;*;3.301;1.20e+05;
2066;J1819-1510;J1819-1510;0.226539;7.85e-18;4.414251;-1.530e-16;418.14;205.00;8.600;0.60;*;4.123;4.57e+08;
2067;J1819-17;J1819-17;2.352135;*;0.425146;*;67.00;*;87.100;0.14;*;1.881;*;
2068;J1819-1717;J1819-1717;0.393522;3.45e-15;2.541156;-2.231e-14;405.00;*;31.500;0.26;*;4.792;1.80e+06;
2069;J1819-37;J1819-37;0.632000;*;1.582278;*;68.20;*;9.000;*;*;2.712;*;
2070;B1818-04;J1820-0427;0.598082;6.33e-15;1.672012;-1.768e-14;84.44;69.20;9.300;10.07;*;2.700;1.50e+06;
2071;J1820-0509;J1820-0509;0.337321;9.32e-16;2.964537;-8.193e-15;102.40;77.60;8.200;0.25;*;3.297;5.73e+06;
2072;B1817-13;J1820-1346;0.921460;4.50e-15;1.085235;-5.294e-15;771.00;893.00;37.000;2.00;*;5.837;3.25e+06;
2073;J1820-1529;J1820-1529;0.333254;3.79e-14;3.000717;-3.413e-13;768.50;849.00;32.200;0.83;*;5.195;1.39e+05;
2074;B1817-18;J1820-1818;0.309905;9.36e-17;3.226800;-9.747e-16;436.00;-70.00;15.000;1.50;*;14.064;5.25e+07;
2075;J1821+0155;J1821+0155;0.033781;2.90e-20;29.602148;-2.541e-17;51.75;110.30;0.520;0.29;*;1.723;1.85e+10;
2076;J1821+1715;J1821+1715;1.366682;8.71e-16;0.731699;-4.665e-16;60.28;109.36;45.000;*;*;4.140;2.48e+07;
2077;J1821+4147;J1821+4147;1.261857;1.73e-15;0.792483;-1.086e-15;40.67;*;10.000;*;*;4.443;1.16e+07;
2078;J1821-0256;J1821-0256;0.414111;3.72e-17;2.414811;-2.170e-16;84.00;*;10.000;0.19;*;3.160;1.76e+08;
2079;J1821-0331;J1821-0331;0.902316;2.53e-15;1.108260;-3.107e-15;171.50;*;16.000;0.20;*;7.555;5.65e+06;
2080;J1821-1419;J1821-1419;1.656010;8.95e-13;0.603861;-3.262e-13;1123.00;*;99.000;0.20;*;6.129;2.93e+04;
2081;J1821-1432;J1821-1432;1.915131;5.37e-15;0.522158;-1.465e-15;570.00;*;39.000;0.22;*;4.540;5.65e+06;
2082;J1822+02;J1822+02;1.508000;*;0.663130;*;103.80;*;62.000;*;*;5.411;*;
2083;J1822+0705;J1822+0705;1.362817;1.75e-15;0.733774;-9.408e-16;62.20;158.00;*;*;*;2.872;1.24e+07;
2084;J1822+1120;J1822+1120;1.787037;2.35e-15;0.559586;-7.346e-16;95.20;*;25.000;*;*;7.776;1.21e+07;
2085;J1822+2617;J1822+2617;0.591418;7.98e-16;1.690853;-2.282e-15;64.70;120.00;2.300;*;*;7.861;1.17e+07;
2086;J1822-0719;J1822-0719;0.499076;1.90e-17;2.003705;-7.628e-17;199.00;*;10.100;*;*;4.611;4.16e+08;
2087;J1822-0848;J1822-0848;0.834839;1.35e-16;1.197835;-1.937e-16;186.30;*;18.000;0.04;BT;3.826;9.80e+07;
2088;J1822-0902;J1822-0902;0.148895;1.78e-14;6.716164;-8.020e-13;448.10;*;5.250;*;*;15.672;1.33e+05;
2089;J1822-0907;J1822-0907;0.974700;3.55e-16;1.025956;-3.740e-16;467.00;*;28.000;0.12;*;16.079;4.35e+07;
2090;J1822-1252;J1822-1252;2.071040;8.48e-14;0.482849;-1.976e-14;925.00;*;105.000;0.25;*;6.405;3.87e+05;
2091;B1820-14;J1822-1400;0.214771;9.07e-16;4.656120;-1.966e-14;649.27;897.00;7.100;0.80;*;4.754;3.75e+06;
2092;J1822-1604;J1822-1604;8.437721;2.14e-14;0.118515;-3.000e-16;*;*;*;*;*;*;6.26e+06;
2093;J1822-1617;J1822-1617;0.831156;1.89e-15;1.203144;-2.729e-15;647.00;*;115.000;0.20;*;14.878;6.99e+06;
2094;B1819-22;J1822-2256;1.874269;1.35e-15;0.533541;-3.856e-16;121.20;124.00;43.700;3.80;*;3.261;2.19e+07;
2095;J1822-4209;J1822-4209;0.456512;4.59e-16;2.190523;-2.201e-15;72.51;54.00;8.000;0.90;*;3.687;1.58e+07;
2096;B1821+05;J1823+0550;0.752907;2.27e-16;1.328186;-4.000e-16;66.78;145.00;46.000;1.70;*;2.000;5.26e+07;
2097;J1823-0154;J1823-0154;0.759777;1.13e-15;1.316175;-1.960e-15;135.87;153.00;5.200;0.78;*;5.265;1.06e+07;
2098;B1820-11;J1823-1115;0.279829;1.38e-15;3.573615;-1.761e-14;428.59;-354.00;26.000;3.20;BT;5.352;3.22e+06;
2099;J1823-1126;J1823-1126;1.846534;3.65e-14;0.541555;-1.071e-14;607.00;*;23.000;0.51;*;9.272;8.01e+05;
2100;J1823-1347;J1823-1347;0.617107;9.60e-15;1.620464;-2.521e-14;1044.00;*;34.600;0.41;*;5.873;1.02e+06;
2101;J1823-1526;J1823-1526;1.625405;4.52e-15;0.615231;-1.709e-15;611.00;242.00;41.000;0.47;*;8.153;5.70e+06;
2102;J1823-1807;J1823-1807;1.636792;2.79e-16;0.610951;-1.040e-16;330.00;*;34.600;0.39;*;10.149;9.31e+07;
2103;B1820-30A;J1823-3021A;0.005440;3.38e-18;183.823389;-1.140e-13;86.88;*;0.340;0.72;*;8.020;2.55e+07;
2104;B1820-30B;J1823-3021B;0.378596;2.99e-17;2.641335;-2.086e-16;87.01;*;6.000;0.07;*;8.020;2.01e+08;
2105;J1823-3021C;J1823-3021C;0.405936;2.24e-16;2.463443;-1.359e-15;86.90;*;*;*;*;8.020;2.87e+07;
2106;J1823-3021D;J1823-3021D;0.003020;*;331.119221;*;86.80;*;*;*;*;8.020;*;
2107;J1823-3021E;J1823-3021E;0.004394;*;227.583068;*;91.40;*;*;*;*;8.020;*;
2108;J1823-3021F;J1823-3021F;0.004850;*;206.185567;*;86.70;*;*;*;*;8.020;*;
2109;J1823-3021G;J1823-3021G;0.006091;-1.78e-20;164.168746;4.800e-16;86.21;*;*;0.05;DD;8.020;*;
2110;J1823-3021H;J1823-3021H;0.005130;*;194.931774;*;86.85;*;*;0.03;*;8.020;*;
2111;B1820-31;J1823-3106;0.284054;2.93e-15;3.520453;-3.628e-14;50.24;95.00;4.400;5.60;*;1.586;1.54e+06;
2112;J1823-3543;J1823-3543;0.002425;*;412.400000;*;81.70;*;*;*;ELL1;3.712;*;
2113;J1824+1014;J1824+1014;0.004066;5.37e-21;245.947030;-3.250e-16;59.88;*;*;*;DD;2.904;1.20e+10;
2114;J1824-0127;J1824-0127;2.499470;3.91e-15;0.400085;-6.253e-16;63.00;29.00;9.800;0.59;*;2.219;1.01e+07;
2115;J1824-0132;J1824-0132;0.223729;2.82e-17;4.469703;-5.634e-16;79.00;*;8.500;0.12;*;3.096;1.26e+08;
2116;J1824-0621;J1824-0621;0.003233;9.14e-21;309.308685;-8.749e-16;131.03;81.00;*;0.11;ELL1;3.534;5.60e+09;
2117;B1821-11;J1824-1118;0.435759;3.55e-15;2.294846;-1.872e-14;601.31;213.00;15.000;1.30;*;5.978;1.94e+06;
2118;J1824-1159;J1824-1159;0.362492;5.38e-15;2.758681;-4.094e-14;462.96;407.00;11.000;0.70;*;4.457;1.07e+06;
2119;J1824-1350;J1824-1350;1.396599;6.07e-16;0.716025;-3.112e-16;551.00;*;29.000;0.08;*;4.693;3.65e+07;
2120;J1824-1423;J1824-1423;0.359394;3.92e-16;2.782460;-3.037e-15;427.63;-306.00;11.000;0.80;*;4.548;1.45e+07;
2121;J1824-1500;J1824-1500;0.412230;7.58e-16;2.425830;-4.460e-15;571.00;*;18.000;0.16;*;6.073;8.62e+06;
2122;B1821-19;J1824-1945;0.189337;5.24e-15;5.281576;-1.460e-13;224.38;-302.20;1.700;7.80;*;3.700;5.73e+05;
2123;J1824-2233;J1824-2233;1.161743;3.01e-16;0.860775;-2.228e-16;156.50;*;13.000;0.22;*;4.597;6.12e+07;
2124;J1824-2328;J1824-2328;1.505875;1.74e-15;0.664066;-7.672e-16;195.40;*;35.000;0.32;*;8.965;1.37e+07;
2125;B1821-24A;J1824-2452A;0.003054;1.62e-18;327.405573;-1.735e-13;119.91;82.20;0.972;2.30;*;5.370;2.99e+07;
2126;J1824-2452B;J1824-2452B;0.006547;*;152.741714;*;119.50;*;*;*;*;5.370;*;
2127;J1824-2452C;J1824-2452C;0.004159;*;240.442414;*;120.70;*;*;*;BT;5.370;*;
2128;J1824-2452D;J1824-2452D;0.079832;*;12.526305;*;119.50;*;*;*;BT;5.370;*;
2129;J1824-2452E;J1824-2452E;0.005420;*;184.501845;*;119.80;*;*;*;*;5.370;*;
2130;J1824-2452F;J1824-2452F;0.002451;*;407.996736;*;123.80;*;*;*;*;5.370;*;
2131;J1824-2452G;J1824-2452G;0.005909;*;169.233373;*;119.40;*;*;*;BT;5.370;*;
2132;J1824-2452H;J1824-2452H;0.004629;*;216.029380;*;121.50;*;*;*;BT;5.370;*;
2133;J1824-2452I;J1824-2452I;0.003932;0.00e+00;254.333031;-0.000e+00;119.00;*;*;*;BT;5.370;*;
2134;J1824-2452J;J1824-2452J;0.004039;*;247.586036;*;119.20;*;*;*;BT;5.370;*;
2135;J1824-2452K;J1824-2452K;0.004461;*;224.164985;*;119.80;*;*;*;BT;5.370;*;
2136;J1824-2452L;J1824-2452L;0.004100;*;243.902439;*;119.00;*;*;*;BT;5.370;*;
2137;J1824-2452M;J1824-2452M;0.004784;1.23e-19;209.017679;-5.366e-15;119.35;*;*;*;ELL1;5.370;6.17e+08;
2138;J1824-2452N;J1824-2452N;0.003353;1.59e-19;298.251729;-1.416e-14;119.32;*;*;*;ELL1;5.370;3.34e+08;
2139;J1824-2537;J1824-2537;0.223320;4.40e-16;4.477874;-8.826e-15;158.50;*;5.800;*;*;7.301;8.04e+06;
2140;B1822+00;J1825+0004;0.778949;8.76e-16;1.283780;-1.444e-15;56.62;21.00;11.000;0.40;*;1.861;1.41e+07;
2141;J1825-0319;J1825-0319;0.004554;6.80e-21;219.609941;-3.280e-16;119.56;179.90;0.149;0.18;BT;3.862;1.06e+10;
2142;B1822-09;J1825-0935;0.769021;5.24e-14;1.300355;-8.853e-14;19.38;67.00;11.000;10.00;*;0.300;2.33e+05;
2143;J1825-1108;J1825-1108;1.925872;1.90e-15;0.519245;-5.123e-16;121.00;*;42.100;0.13;*;2.750;1.61e+07;
2144;B1822-14;J1825-1446;0.279198;2.27e-14;3.581684;-2.908e-13;352.23;-899.00;9.800;2.90;*;4.441;1.95e+05;
2145;J1825-31;J1825-31;2.382000;*;0.419815;*;93.30;*;47.000;*;*;3.967;*;
2146;J1825-33;J1825-33;1.271200;*;0.786658;*;43.00;*;*;*;*;1.238;*;
2147;B1823-11;J1826-1131;2.093136;4.91e-15;0.477752;-1.121e-15;320.58;229.00;29.000;0.71;*;3.974;6.75e+06;
